Chemical Name,Blocker,blocker.concentration,p.Concentration,Molarity,PPB,pH,Exudate.mg
Water Control,Vehicle,0 mM,0,NA,0,NA,6
Water Control,Vehicle,0 mM,0,NA,0,NA,10.5
Water Control,Vehicle,0 mM,0,NA,0,NA,12.8
Water Control,Vehicle,0 mM,0,NA,0,NA,14.8
Water Control,Vehicle,0 mM,0,NA,0,NA,17
Water Control,Vehicle,0 mM,0,NA,0,NA,20.2
Water Control,Vehicle,0 mM,0,NA,0,NA,33.7
Water Control,Amiloride,1 mM,0,NA,0,NA,7.4
Water Control,Amiloride,1 mM,0,NA,0,NA,8.2
Water Control,Amiloride,1 mM,0,NA,0,NA,8.3
Water Control,Amiloride,1 mM,0,NA,0,NA,8.7
Water Control,Amiloride,1 mM,0,NA,0,NA,9.5
Water Control,Amiloride,1 mM,0,NA,0,NA,13.3
Water Control,Amiloride,1 mM,0,NA,0,NA,14.6
Water Control,Amiloride,1 mM,0,NA,0,NA,19.1
Water Control,Amiloride,10 mM,0,NA,0,NA,9.5
Water Control,Amiloride,10 mM,0,NA,0,NA,9.6
Water Control,Amiloride,10 mM,0,NA,0,NA,14.8
Water Control,Amiloride,10 mM,0,NA,0,NA,16.3
Water Control,Amiloride,5 mM,0,NA,0,NA,6.7
Water Control,Amiloride,5 mM,0,NA,0,NA,7.4
Water Control,Amiloride,5 mM,0,NA,0,NA,7.6
Water Control,Amiloride,5 mM,0,NA,0,NA,11.2
Acetic acid,Vehicle,0 mM,5,0.77,50,3.3,8.9
Acetic acid,Vehicle,0 mM,5,0.77,50,3.3,9.3
Acetic acid,Vehicle,0 mM,5,0.77,50,3,10.6
Acetic acid,Vehicle,0 mM,5,0.77,50,3,10.7
Propionic acid,Vehicle,0 mM,5,0.67,50,3,34.8
Propionic acid,Vehicle,0 mM,5,0.67,50,3,50.6
Acetic acid,Vehicle,0 mM,5,0.77,50,3,52.1
Propionic acid,Vehicle,0 mM,5,0.67,50,3,53.5
Acetic acid,Vehicle,0 mM,5,0.77,50,3.3,55.9
Acetic acid,Vehicle,0 mM,5,0.77,50,3,60.7
Formic acid,Vehicle,0 mM,5,1.09,50,2,65.6
Formic acid,Vehicle,0 mM,5,1.09,50,2,66.2
Propionic acid,Vehicle,0 mM,5,0.67,50,3,69.8
Formic acid,Vehicle,0 mM,5,1.09,50,2,71.1
Acetic acid,Vehicle,0 mM,5,0.77,50,3,73.7
Formic acid,Vehicle,0 mM,5,1.09,50,2,101.9
Propionic acid,Vehicle,0 mM,10,1.35,100,3.9,34.5
Propionic acid,Vehicle,0 mM,10,1.35,100,3,34.6
Acetic acid,Vehicle,0 mM,10,1.54,100,3,40.1
Propionic acid,Vehicle,0 mM,10,1.35,100,3.9,45.8
Propionic acid,Vehicle,0 mM,10,1.35,100,3,53.8
Propionic acid,Vehicle,0 mM,10,1.35,100,3.9,60.1
Acetic acid,Vehicle,0 mM,10,1.54,100,3,69
Acetic acid,Vehicle,0 mM,10,1.54,100,3,72.4
Propionic acid,Vehicle,0 mM,10,1.35,100,3,83.2
Acetic acid,Vehicle,0 mM,10,1.54,100,3,85.7
Propionic acid,Vehicle,0 mM,10,1.35,100,3,97.2
Formic acid,Vehicle,0 mM,10,2.17,100,2,99.4
Propionic acid,Vehicle,0 mM,10,1.35,100,3.9,115.1
Acetic acid,Vehicle,0 mM,10,1.54,100,3,117.4
