P.CO2,Blocker,Concentration,Vehicle,Treatment,Exudate
0,Acetazolamide,0 mM,Water,Vehicle,14
0,Acetazolamide,0 mM,Water,Vehicle,7
0,Acetazolamide,0 mM,Water,Vehicle,28.6
0,Acetazolamide,0 mM,Water,Vehicle,22.2
0,Acetazolamide,0 mM,Water,Vehicle,39.2
0,Acetazolamide,0 mM,Water,Vehicle,27.9
0,Acetazolamide,0 mM,Water,Vehicle,29.5
0,Acetazolamide,0 mM,Water,Vehicle,9.5
0,Acetazolamide,0 mM,Water,Vehicle,26.8
0,Acetazolamide,0 mM,Water,Vehicle,13
0,Acetazolamide,0 mM,Water,Vehicle,14.4
0,Acetazolamide,0 mM,Water,Vehicle,19.6
0,Acetazolamide,50 mM,Water,Blocker,3.4
0,Acetazolamide,50 mM,Water,Blocker,5.9
0,Acetazolamide,50 mM,Water,Blocker,11.7
0,Acetazolamide,50 mM,Water,Blocker,7
0,Acetazolamide,50 mM,Water,Blocker,10.1
0,Acetazolamide,50 mM,Water,Blocker,13.8
0,Acetazolamide,50 mM,Water,Blocker,22
0,Acetazolamide,50 mM,Water,Blocker,6.5
50,Acetazolamide,0 mM,Water,Vehicle,77.3
50,Acetazolamide,0 mM,Water,Vehicle,38
50,Acetazolamide,0 mM,Water,Vehicle,21.2
50,Acetazolamide,0 mM,Water,Vehicle,70.2
50,Acetazolamide,0 mM,Water,Vehicle,56.9
50,Acetazolamide,0 mM,Water,Vehicle,27.7
50,Acetazolamide,0 mM,Water,Vehicle,46.3
50,Acetazolamide,0 mM,Water,Vehicle,31.9
50,Acetazolamide,0 mM,Water,Vehicle,36.4
50,Acetazolamide,0 mM,Water,Vehicle,45.6
50,Acetazolamide,0 mM,Water,Vehicle,28.9
50,Acetazolamide,0 mM,Water,Vehicle,48.6
50,Acetazolamide,50 mM,Water,Blocker,38.8
50,Acetazolamide,50 mM,Water,Blocker,18.5
50,Acetazolamide,50 mM,Water,Blocker,19.6
50,Acetazolamide,50 mM,Water,Blocker,25.6
50,Acetazolamide,50 mM,Water,Blocker,67.3
50,Acetazolamide,50 mM,Water,Blocker,60.5
50,Acetazolamide,50 mM,Water,Blocker,40.6
50,Acetazolamide,50 mM,Water,Blocker,38.4
50,Acetazolamide,50 mM,Water,Blocker,11.4
50,Acetazolamide,50 mM,Water,Blocker,24.4
50,Acetazolamide,50 mM,Water,Blocker,31.3
50,Acetazolamide,50 mM,Water,Blocker,48
50,Acetazolamide,50 mM,Water,Blocker,59.2
100,Acetazolamide,0 mM,Water,Vehicle,147.7
100,Acetazolamide,0 mM,Water,Vehicle,207.9
100,Acetazolamide,0 mM,Water,Vehicle,180.8
100,Acetazolamide,0 mM,Water,Vehicle,125.9
100,Acetazolamide,0 mM,Water,Vehicle,54
100,Acetazolamide,0 mM,Water,Vehicle,30.3
100,Acetazolamide,0 mM,Water,Vehicle,46.2
100,Acetazolamide,0 mM,Water,Vehicle,134
100,Acetazolamide,0 mM,Water,Vehicle,78
100,Acetazolamide,50 mM,Water,Blocker,2.3
100,Acetazolamide,50 mM,Water,Blocker,52.5
100,Acetazolamide,50 mM,Water,Blocker,24.5
100,Acetazolamide,50 mM,Water,Blocker,11.8
100,Acetazolamide,50 mM,Water,Blocker,31.6
100,Acetazolamide,50 mM,Water,Blocker,20.5
