"transcript_id","Start","End","Strand","Length","eh.head.S1.bam","eh.head.S2.bam","eh.head.S3.bam","eh.mid.S4.bam","eh.mid.S5.bam","eh.mid.S6.bam"
"TRINITY_DN100014_c0_g1_i1",1,266,"+",266,0,0,2,4,1,0
"TRINITY_DN100017_c0_g1_i1",1,249,"+",249,0,15,0,0,0,0
"TRINITY_DN100021_c0_g1_i1",1,368,"+",368,0,0,1,0,0,0
"TRINITY_DN100028_c0_g1_i1",1,218,"+",218,0,0,0,0,0,0
"TRINITY_DN100034_c0_g1_i1",1,206,"+",206,0,0,1,0,3,0
"TRINITY_DN100040_c0_g1_i1",1,360,"+",360,0,0,0,0,4,3
"TRINITY_DN100050_c0_g1_i1",1,241,"+",241,0,0,0,0,7,3
"TRINITY_DN100062_c0_g1_i1",1,272,"+",272,0,0,0,0,0,0
"TRINITY_DN100064_c0_g1_i1",1,202,"+",202,0,11,0,0,0,0
"TRINITY_DN100065_c0_g1_i1",1,389,"+",389,0,0,3,0,1,0
"TRINITY_DN100077_c0_g1_i1",1,228,"+",228,0,0,0,4,0,0
"TRINITY_DN100085_c0_g1_i1",1,276,"+",276,0,0,0,0,1,4
"TRINITY_DN100087_c0_g1_i1",1,205,"+",205,0,0,0,0,0,0
"TRINITY_DN100092_c0_g1_i1",1,282,"+",282,0,0,1,7,0,0
"TRINITY_DN100093_c0_g1_i1",1,230,"+",230,0,0,0,0,3,3
"TRINITY_DN100117_c0_g1_i1",1,235,"+",235,0,2,2,0,0,0
"TRINITY_DN100128_c0_g1_i1",1,232,"+",232,0,0,0,0,1,7
"TRINITY_DN100131_c0_g1_i1",1,201,"+",201,0,8,0,0,0,0
"TRINITY_DN100134_c0_g1_i1",1,230,"+",230,0,0,0,6,0,0
"TRINITY_DN100150_c0_g1_i1",1,357,"+",357,0,0,7,0,0,0
"TRINITY_DN100156_c0_g1_i1",1,277,"+",277,0,0,0,0,0,4
"TRINITY_DN100157_c0_g1_i1",1,245,"+",245,0,0,2,0,0,0
"TRINITY_DN100159_c0_g1_i1",1,210,"+",210,0,6,0,0,0,0
"TRINITY_DN100175_c0_g1_i1",1,323,"+",323,0,0,0,0,0,0
"TRINITY_DN100189_c0_g1_i1",1,206,"+",206,0,0,0,0,3,0
"TRINITY_DN100191_c0_g1_i1",1,256,"+",256,0,0,0,0,0,0
"TRINITY_DN100196_c0_g1_i1",1,279,"+",279,0,0,3,0,0,0
"TRINITY_DN100209_c0_g1_i1",1,253,"+",253,0,12,1,0,0,1
"TRINITY_DN100219_c0_g1_i1",1,223,"+",223,0,6,0,0,0,0
"TRINITY_DN100231_c0_g1_i1",1,238,"+",238,0,8,1,0,0,0
"TRINITY_DN100237_c0_g1_i1",1,367,"+",367,0,0,4,0,0,0
"TRINITY_DN100253_c0_g1_i1",1,205,"+",205,0,0,0,0,0,3
"TRINITY_DN100254_c0_g1_i1",1,209,"+",209,0,0,0,0,0,0
"TRINITY_DN100258_c0_g1_i1",1,203,"+",203,0,5,0,0,0,0
"TRINITY_DN100262_c0_g1_i1",1,251,"+",251,0,4,2,1,8,2
"TRINITY_DN100267_c0_g1_i1",1,275,"+",275,0,0,2,3,1,0
"TRINITY_DN100319_c0_g1_i1",1,296,"+",296,0,0,0,0,0,13
"TRINITY_DN100327_c0_g1_i1",1,205,"+",205,0,0,2,1,1,12
"TRINITY_DN100341_c0_g1_i1",1,266,"+",266,0,0,2,0,0,0
"TRINITY_DN100343_c0_g1_i1",1,202,"+",202,0,0,0,2,0,0
"TRINITY_DN100351_c0_g1_i1",1,441,"+",441,0,0,0,0,8,0
"TRINITY_DN100374_c0_g1_i1",1,247,"+",247,0,0,3,0,0,0
"TRINITY_DN100376_c0_g1_i1",1,204,"+",204,0,10,0,0,0,0
"TRINITY_DN100378_c0_g1_i1",1,231,"+",231,0,0,2,0,0,0
"TRINITY_DN100389_c0_g1_i1",1,282,"+",282,0,9,25,15,19,15
"TRINITY_DN100391_c0_g1_i1",1,226,"+",226,0,0,5,3,0,5
"TRINITY_DN100397_c0_g1_i1",1,222,"+",222,0,0,3,0,0,0
"TRINITY_DN100400_c0_g1_i1",1,264,"+",264,0,19,28,19,10,982
"TRINITY_DN100402_c0_g1_i1",1,243,"+",243,0,0,2,0,0,0
"TRINITY_DN100411_c0_g1_i1",1,257,"+",257,0,0,0,3,0,0
"TRINITY_DN100415_c0_g1_i1",1,306,"+",306,0,9,0,1,0,0
"TRINITY_DN100416_c0_g1_i1",1,296,"+",296,0,0,1,3,3,0
"TRINITY_DN100431_c0_g1_i1",1,214,"+",214,0,0,5,1,0,0
"TRINITY_DN100433_c0_g1_i1",1,307,"+",307,0,295,255,120,125,536
"TRINITY_DN100438_c0_g1_i1",1,210,"+",210,0,0,3,0,0,0
"TRINITY_DN100440_c0_g1_i1",1,231,"+",231,0,0,0,4,0,2
"TRINITY_DN100447_c0_g1_i1",1,217,"+",217,0,0,0,0,0,0
"TRINITY_DN100454_c0_g1_i1",1,299,"+",299,0,0,1,0,0,0
"TRINITY_DN100457_c0_g1_i1",1,237,"+",237,0,0,0,0,0,0
"TRINITY_DN100459_c0_g1_i1",1,307,"+",307,0,0,4,0,0,1
"TRINITY_DN100470_c0_g1_i1",1,208,"+",208,0,5,0,0,0,0
"TRINITY_DN10048_c0_g1_i1",1,219,"+",219,4,0,0,0,0,0
"TRINITY_DN100495_c0_g1_i1",1,255,"+",255,0,0,4,2,0,0
"TRINITY_DN100497_c0_g1_i1",1,413,"+",413,0,0,2,0,0,8
"TRINITY_DN100498_c0_g1_i1",1,211,"+",211,0,0,2,0,0,1
"TRINITY_DN100506_c0_g1_i1",1,218,"+",218,0,0,2,0,3,3
"TRINITY_DN100511_c0_g1_i1",1,212,"+",212,0,9,0,0,0,0
"TRINITY_DN100514_c0_g1_i1",1,322,"+",322,0,0,1,0,0,0
"TRINITY_DN100519_c0_g1_i1",1,241,"+",241,0,0,0,0,5,0
"TRINITY_DN100527_c0_g1_i1",1,350,"+",350,0,4,224,7,17,37
"TRINITY_DN100532_c0_g1_i1",1,245,"+",245,0,0,1,3,2,0
"TRINITY_DN100537_c0_g1_i1",1,220,"+",220,0,0,0,3,0,0
"TRINITY_DN100541_c0_g1_i1",1,235,"+",235,0,8,0,0,0,0
"TRINITY_DN100543_c0_g1_i1",1,282,"+",282,0,0,0,6,0,0
"TRINITY_DN100549_c0_g1_i1",1,278,"+",278,0,0,1,0,0,0
"TRINITY_DN100567_c0_g1_i1",1,214,"+",214,0,4,0,3,0,0
"TRINITY_DN100572_c0_g1_i1",1,205,"+",205,0,0,0,0,0,3
"TRINITY_DN100583_c0_g1_i1",1,227,"+",227,0,11,0,0,0,0
"TRINITY_DN100589_c0_g1_i1",1,211,"+",211,0,1,1,1,5,0
"TRINITY_DN100592_c0_g1_i1",1,203,"+",203,0,11,0,2,0,4
"TRINITY_DN100595_c0_g1_i1",1,245,"+",245,0,0,3,0,0,0
"TRINITY_DN100605_c0_g1_i1",1,246,"+",246,0,4,0,0,0,0
"TRINITY_DN100612_c0_g1_i1",1,215,"+",215,0,0,0,0,0,9
"TRINITY_DN100623_c0_g1_i1",1,283,"+",283,0,0,8,0,0,0
"TRINITY_DN10062_c0_g1_i1",1,242,"+",242,0,0,2,0,0,0
"TRINITY_DN10062_c0_g2_i1",1,202,"+",202,0,0,0,0,0,0
"TRINITY_DN100643_c0_g1_i1",1,304,"+",304,0,7,1,0,0,0
"TRINITY_DN100646_c0_g1_i1",1,304,"+",304,0,0,1,0,0,0
"TRINITY_DN100659_c0_g1_i1",1,249,"+",249,0,0,0,7,0,0
"TRINITY_DN100674_c0_g1_i1",1,205,"+",205,0,11,0,0,0,0
"TRINITY_DN100676_c0_g1_i1",1,242,"+",242,0,0,0,0,0,0
"TRINITY_DN100677_c0_g1_i1",1,207,"+",207,0,7,0,0,0,0
"TRINITY_DN10067_c0_g1_i1",1,201,"+",201,3,12,5,7,16,17
"TRINITY_DN100680_c0_g1_i1",1,266,"+",266,0,0,0,3,0,0
"TRINITY_DN100683_c0_g1_i1",1,261,"+",261,0,0,0,0,0,0
"TRINITY_DN100697_c0_g1_i1",1,205,"+",205,0,7,0,0,0,0
"TRINITY_DN100700_c0_g1_i1",1,205,"+",205,0,13,0,0,0,0
"TRINITY_DN100714_c0_g1_i1",1,205,"+",205,0,16,0,0,0,0
"TRINITY_DN100715_c0_g1_i1",1,238,"+",238,0,0,0,0,0,0
"TRINITY_DN100717_c0_g1_i1",1,211,"+",211,0,0,4,0,0,0
"TRINITY_DN100721_c0_g1_i1",1,283,"+",283,0,0,2,0,0,0
"TRINITY_DN100740_c0_g1_i1",1,219,"+",219,0,0,0,3,0,0
